idpozo,sigla,formprod,coordenadax,coordenaday
2781,PCR.LP.EM-2050,QTUC,-67.76429,-38.04612
2782,PCR.LP.EM-2045,QTUC,-67.76794,-38.04749
2783,YPF.LP.EM.a-909,QTUC,-67.75696,-38.04343
2784,PCR.LP.EM-2066,QTUC,-67.75995,-38.04528
2785,PCR.LP.EM-2059,QTUC,-67.76144,-38.04854
2786,YPF.LP.EM.a-913,QTUC,-67.74696,-38.04244
2787,PCR.LP.EM.x-2015,QTUC,-67.74303,-38.05612
2788,PCR.LP.EM-2060,CENT,-67.5288,-38.05483
3187,PCR.LP.EM-2063,QTUC,-67.53771,-38.05523
3188,PCR.LP.EM-2053,CENT,-67.52485,-38.04651
3189,PCR.LP.EM-2058,QTUC,-67.53333,-38.04887
3190,PCR.LP.EM-2034,QTUC,-67.54177,-38.04874
3191,PCR.LP.EM-2035,CENT,-67.51647,-38.04434
3192,PCR.LP.EM-2061,QTUC,-67.53135,-38.04286
3193,PCR.LP.EM.x-2026,QTUC,-67.52256,-38.03958
3194,PCR.LP.EM.a-2085,QTUC,-67.56639,-38.04797
3195,PCR.LP.EM-2075,QTUC,-67.55843,-38.03583
3196,PCR.LP.EM.a-2025,QTUC,-67.60335,-38.03937
3197,PCR.LP.EM-2040,QTUC,-67.72987,-37.99485
3199,PCR.LP.EM-2040,CHYO,-67.72987,-37.99485
3200,PCR.LP.EM-2056,CHYO,-67.72822,-37.99132
3201,PCR.LP.EM-2036,CHYO,-67.73287,-37.99209
3202,PCR.LP.EM-2044,CHYO,-67.74365,-37.98542
3203,PCR.LP.EM-2088,CHYO,-67.76786,-38.00321
3204,PCR.LP.EM-2082,CHYO,-67.7735,-38.00111
3205,PCR.LP.EM-2083,CHYO,-67.76968,-38.00057
3206,PCR.LP.EM-2084,CHYO,-67.76547,-38.00064
3207,PCR.LP.EM-2086,CHYO,-67.76145,-38.00099
3208,PCR.LP.EM-2068,CHYO,-67.75866,-37.99872
3209,PCR.LP.EM-2079,CHYO,-67.76299,-37.9982
3210,PCR.LP.EM-2078,CHYO,-67.76737,-37.99793
3211,PCR.LP.EM-2089,CHYO,-67.77178,-37.99786
3212,PCR.LP.EM-2087,CHYO,-67.78066,-37.99904
3213,PCR.LP.EM-2023,CHYO,-67.78193,-38.00441
3214,PCR.LP.EM-2067,SBLA,-67.73892,-37.99883
3215,YPF.LP.EM-903,CHYO,-67.80895,-38.03217
3216,YPF.LP.EM-912,CHYO,-67.80497,-38.03194
3217,YPF.LP.EM.a-900,CHYO,-67.80889,-38.03649
3218,PCR.LP.EM-2091,QTUC,-67.79208,-38.00322
3219,PCR.LP.EM-2091,SBLA,-67.79208,-38.00322
3220,PCR.LP.EM-2096,QTUC,-67.80346,-38.00776
3221,PCR.LP.EM-2096,CHYO,-67.80346,-38.00776
